Sex,Marital Status,Race,Native Country,Industry,Occupation,Education Enrollment,FT/PT Enrollment,Education Level Attained,Household Member Status,Weekly Earnings,Weekly Earnings Categories,PWSSWGT
Female,Married - spouse present,White only,United States,State government,Management occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1076.0,1000-1249,5140.4753
Male,Never married,White only,United States,State government,Sales and related occupations,Not enrolled,,High school graduate,Adult civilian household member,1058.0,1000-1249,5703.3308
Female,Never married,White only,United States,State government,Community and social service occupations,Not enrolled,,Master's degree,Adult civilian household member,1380.0,1250-1499,4691.9775
Male,Married - spouse present,White only,United States,State government,Management occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,1620.0,1500-1999,1935.4119
Female,Married - spouse present,White only,United States,State government,Healthcare practitioner and technical occupations,Not enrolled,,Doctorate degree,Adult civilian household member,1520.0,1500-1999,1649.3775
Male,Divorced,White only,,State government,Building and grounds cleaning and maintenance occupations,,,"Some college, no degree",Adult civilian household member,1600.0,1500-1999,3997.4215
Female,Divorced,W-A-HP,United States,State government,Management occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1870.0,1500-1999,1111.9624
Female,Never married,W-A-HP,United States,State government,Sales and related occupations,Enrolled,Full time,11th grade,Adult civilian household member,84.0,<250,1374.0094
Male,Married - spouse present,White only,,State government,Construction and extraction occupations,Not enrolled,,High school graduate,Adult civilian household member,680.0,500-749,5135.0939
Female,Married - spouse present,Black only,United States,State government,Healthcare practitioner and technical occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1920.0,1500-1999,5975.1657
Male,Married - spouse present,Black only,United States,State government,Production occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,700.0,500-749,7171.3528
Female,Never married,Black only,United States,State government,Food preparation and serving related occupations,Enrolled,Full time,"Some college, no degree",Adult civilian household member,400.0,250-499,6659.0608
Female,Divorced,White only,United States,Private nonprofit,Education instruction and library occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1350.0,1250-1499,2331.5637
Female,Married - spouse present,White only,,Local government,Education instruction and library occupations,,,Master's degree,Adult civilian household member,1940.0,1500-1999,2346.6718
Female,Married - spouse present,White only,,State government,Office and administrative support occupations,Not enrolled,,Master's degree,Adult civilian household member,800.0,750-999,801.6254
Male,Divorced,White only,United States,Private nonprofit,Education instruction and library occupations,,,High school graduate,Adult civilian household member,450.0,250-499,738.8085
Female,Never married,Black only,,Local government,Education instruction and library occupations,Not enrolled,,Master's degree,Adult civilian household member,1380.0,1250-1499,5988.5016
Female,Never married,Black only,United States,State government,Business and financial operations occupations,Not enrolled,,Master's degree,Adult civilian household member,1380.0,1250-1499,8757.2958
Female,Never married,White only,United States,Federal government,Business and financial operations occupations,Not enrolled,,Master's degree,Adult civilian household member,2240.0,2000+,5598.6711
Female,Divorced,White only,United States,Federal government,Healthcare practitioner and technical occupations,,,Associate degree - academic,Adult civilian household member,586.0,500-749,683.6575
Female,Never married,White only,United States,Federal government,Healthcare practitioner and technical occupations,Not enrolled,,Master's degree,Adult civilian household member,2020.0,2000+,5177.6917
Female,Separated,White only,United States,State government,Office and administrative support occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1000.0,1000-1249,581.6863
Male,Never married,White only,United States,State government,Construction and extraction occupations,Not enrolled,,High school graduate,Adult civilian household member,1390.0,1250-1499,678.6854
Male,Never married,White only,United States,State government,Transportation and material moving occupations,Not enrolled,,High school graduate,Adult civilian household member,880.0,750-999,726.3753
Female,Never married,White only,United States,State government,Healthcare practitioner and technical occupations,Not enrolled,,Bachelor's degree,Adult civilian household member,1520.0,1500-1999,780.9009
Female,Married - spouse present,White only,United States,State government,Business and financial operations occupations,Not enrolled,,Associate degree - occupational,Adult civilian household member,770.0,750-999,2786.3887
Male,Married - spouse present,White only,United States,State government,Office and administrative support occupations,Not enrolled,,High school graduate,Adult civilian household member,1154.0,1000-1249,1983.281
Male,Never married,White only,United States,State government,Architecture and engineering occupations,Not enrolled,,High school graduate,Adult civilian household member,770.0,750-999,2331.408
Male,Widowed,White only,United States,Local government,Protective service occupations,Not enrolled,,"Some college, no degree",Adult civilian household member,1076.0,1000-1249,2583.7171
